role,required_skills,average_salary_inr,growth_outlook,notes
Data Scientist,"Python, Machine Learning, Statistics, SQL",1200000,High,"Strong demand across startups and enterprises"
Machine Learning Engineer,"Python, Deep Learning, MLOps, PyTorch",1500000,High,"Requires strong math and deployment skills"
Data Analyst,"SQL, Excel, Python, Data Visualization",800000,Medium,"Good entry-level role into data careers"
Software Engineer,"DSA, Python/Java, System Design",1400000,High,"Broad roles, competitive hiring"
AI Research Intern,"Linear Algebra, ML Theory, Research Skills",0,Medium,"Often unpaid, strong academic value"
Backend Engineer,"APIs, Databases, Python/Java, Cloud",1300000,High,"Strong industry relevance"
Frontend Engineer,"JavaScript, React, HTML, CSS",1100000,High,"User-facing role, strong demand in startups"
Full Stack Developer,"Frontend, Backend, Databases, APIs",1350000,High,"Requires versatility across tech stack"
Data Engineer,"SQL, Python, Spark, ETL, Cloud",1450000,High,"Critical role for scalable data systems"
Business Analyst,"Excel, SQL, Business Intelligence, Communication",750000,Medium,"Bridges business and technical teams"
DevOps Engineer,"CI/CD, Docker, Kubernetes, Cloud",1600000,High,"High demand for infrastructure automation"
Cloud Engineer,"AWS/Azure/GCP, Networking, Linux",1550000,High,"Cloud adoption driving demand"
Cybersecurity Analyst,"Security Fundamentals, Networking, SIEM",1200000,High,"Growing importance due to security threats"
Product Manager,"Product Strategy, Communication, Analytics",1400000,Medium,"Requires cross-functional collaboration"
QA Engineer,"Testing, Automation, Selenium, APIs",700000,Medium,"Important for software reliability"
Mobile App Developer,"Android/iOS, Flutter/React Native",1250000,High,"Strong demand in consumer apps"
UI/UX Designer,"Design Thinking, Figma, User Research",900000,Medium,"Key role in user-centric products"
AI Engineer,"Python, ML Models, APIs, Deployment",1450000,High,"Applied AI roles in industry"
NLP Engineer,"Python, NLP, Transformers, Deep Learning",1500000,High,"Specialized ML role with growing use cases"
Computer Vision Engineer,"OpenCV, Deep Learning, Image Processing",1500000,High,"Used in robotics, healthcare, surveillance"
Data Science Intern,"Python, Statistics, Data Analysis",300000,Medium,"Paid internships, learning-focused"
ML Intern,"Python, ML Basics, Projects",350000,Medium,"Hands-on exposure to ML pipelines"
Software Engineering Intern,"DSA, Programming Basics",400000,Medium,"Common pathway to full-time roles"
Research Assistant,"Research Methods, Technical Writing, ML",250000,Medium,"Academic and industry research exposure"
Business Intelligence Analyst,"SQL, Dashboards, Power BI/Tableau",850000,Medium,"Focus on reporting and insights"
